Date,Open,High,Low,Close,Adj Close,Volume,Currency Name
2019-12-19,1.006006,1.0195530000000002,0.992406,1.008569,1.008569,30032554753.0,Tether
2019-12-20,1.008591,1.012658,0.997677,1.005842,1.005842,27492020303.0,Tether
2019-12-21,1.005676,1.014122,0.987017,1.005758,1.005758,22141256341.0,Tether
2019-12-22,1.005803,1.012777,0.999044,1.003887,1.003887,26913344236.0,Tether
2019-12-23,1.00404,1.01342,0.993842,1.012136,1.012136,31988935316.0,Tether
2019-12-24,1.012244,1.027292,0.99895,1.008587,1.008587,27906575904.0,Tether
2019-12-25,1.008515,1.039319,0.991506,1.004661,1.004661,24502862889.0,Tether
2019-12-26,1.004907,1.018677,0.993212,1.003988,1.003988,27081119738.0,Tether
2019-12-27,1.003982,1.019878,0.994478,1.005803,1.005803,26617288047.0,Tether
2019-12-28,1.005709,1.012015,0.999761,1.000307,1.000307,25847515455.0,Tether
2019-12-29,1.006071,1.028689,0.999667,1.00421,1.00421,26657374932.0,Tether
2019-12-30,1.004051,1.011578,1.00111,1.006175,1.006175,27104097511.0,Tether
2019-12-31,1.005632,1.009868,0.99779,0.999679,0.999679,24214120056.0,Tether
2020-01-01,0.999571,1.006873,0.994924,0.999836,0.999836,21503143454.0,Tether
2020-01-02,0.999788,1.008451,0.986515,1.001565,1.001565,24212314977.0,Tether
2020-01-03,1.001183,1.022286,0.988027,1.004192,1.004192,32420287856.0,Tether
2020-01-04,1.00351,1.013633,0.99916,1.007472,1.007472,21585629320.0,Tether
2020-01-05,1.0099209999999998,1.016161,1.001758,1.006197,1.006197,24090142146.0,Tether
2020-01-06,1.006417,1.013589,0.999115,1.002903,1.002903,29460474864.0,Tether
2020-01-07,1.003016,1.011154,0.998249,1.001723,1.001723,32765511976.0,Tether
2020-01-08,1.002026,1.015951,0.990067,1.004253,1.004253,35175740304.0,Tether
2020-01-09,1.0029860000000002,1.01014,0.993994,1.006573,1.006573,28026673217.0,Tether
2020-01-10,1.004444,1.011692,0.994826,1.001462,1.001462,34207037022.0,Tether
2020-01-11,1.001755,1.008078,0.993385,1.000091,1.000091,31049760361.0,Tether
2020-01-12,0.999443,1.009358,0.994446,1.002478,1.002478,27250055613.0,Tether
2020-01-13,1.001963,1.010098,0.998427,1.003347,1.003347,26468468000.0,Tether
2020-01-14,1.00473,1.018959,0.991961,1.001821,1.001821,57687160761.0,Tether
2020-01-15,1.00254,1.022493,0.991055,0.999656,0.999656,49045902728.0,Tether
2020-01-16,1.000977,1.011167,0.993361,0.999231,0.999231,40752742739.0,Tether
2020-01-17,0.999287,1.014135,0.98928,1.002879,1.002879,47263851458.0,Tether
2020-01-18,1.001258,1.006991,0.993985,1.002741,1.002741,43805026250.0,Tether
2020-01-19,1.000911,1.0259120000000002,0.993084,0.998535,0.998535,42680566067.0,Tether
2020-01-20,0.998641,1.006623,0.995383,1.000688,1.000688,33079894466.0,Tether
2020-01-21,1.000513,1.005882,0.995219,1.001418,1.001418,31080893275.0,Tether
2020-01-22,1.001464,1.003516,0.997179,1.000595,1.000595,29749248330.0,Tether
2020-01-23,1.000722,1.005093,0.996345,0.998409,0.998409,33631459310.0,Tether
2020-01-24,0.999104,1.005414,0.992917,1.00297,1.00297,33356108238.0,Tether
2020-01-25,1.003659,1.005684,0.996539,1.0021129999999998,1.0021129999999998,26340299495.0,Tether
2020-01-26,1.001947,1.008337,0.997359,1.000504,1.000504,29121614731.0,Tether
2020-01-27,1.00155,1.007147,0.99323,1.0019,1.0019,37771545362.0,Tether
2020-01-28,1.002014,1.00824,0.991067,1.00076,1.00076,44123906993.0,Tether
2020-01-29,1.001529,1.006268,0.993174,1.002296,1.002296,42323320108.0,Tether
2020-01-30,1.003219,1.010996,0.997548,1.001452,1.001452,43624728074.0,Tether
2020-01-31,1.002196,1.006945,0.997409,1.000648,1.000648,40496855325.0,Tether
2020-02-01,1.000252,1.004949,0.997052,1.001216,1.001216,34763069931.0,Tether
2020-02-02,1.001608,1.0081790000000002,0.996096,1.000544,1.000544,40560625161.0,Tether
2020-02-03,1.0013610000000002,1.006674,0.994314,0.998913,0.998913,39849489336.0,Tether
2020-02-04,0.999364,1.0050629999999998,0.996329,1.001745,1.001745,36950713371.0,Tether
2020-02-05,1.001915,1.006473,0.993603,1.002838,1.002838,46504757742.0,Tether
2020-02-06,1.002153,1.018247,0.996225,0.997216,0.997216,46549174003.0,Tether
2020-02-07,0.997453,1.00275,0.99486,0.997751,0.997751,42966951015.0,Tether
2020-02-08,0.998773,1.006553,0.994024,0.999534,0.999534,44251729422.0,Tether
2020-02-09,0.999441,1.008029,0.99557,1.001473,1.001473,44977724508.0,Tether
2020-02-10,1.001228,1.015191,0.995004,1.00064,1.00064,48784184264.0,Tether
2020-02-11,1.000575,1.00483,0.991423,0.998423,0.998423,46001561028.0,Tether
2020-02-12,0.99846,1.006328,0.99447,1.002559,1.002559,54829582150.0,Tether
2020-02-13,1.003609,1.015832,0.991908,0.998579,0.998579,63588479574.0,Tether
2020-02-14,0.998673,1.004086,0.995624,1.000114,1.000114,54698567058.0,Tether
2020-02-15,0.999684,1.015225,0.996736,0.999128,0.999128,57250318373.0,Tether
2020-02-16,0.998857,1.014185,0.995153,0.999272,0.999272,60160518246.0,Tether
2020-02-17,1.000717,1.007495,0.992153,0.998474,0.998474,63038607545.0,Tether
2020-02-18,0.998397,1.009064,0.989398,1.000759,1.000759,60616752516.0,Tether
2020-02-19,1.000135,1.030959,0.996316,1.001324,1.001324,54920030584.0,Tether
2020-02-20,1.002034,1.011155,0.993834,1.002594,1.002594,55986244963.0,Tether
2020-02-21,1.0024,1.007204,0.993989,1.003138,1.003138,47618138884.0,Tether
2020-02-22,1.001776,1.007241,0.997046,1.001829,1.001829,41243330013.0,Tether
2020-02-23,1.002599,1.004223,0.992563,0.998017,0.998017,47448629411.0,Tether
2020-02-24,0.999138,1.012556,0.996022,0.9988,0.9988,56599226979.0,Tether
2020-02-25,0.998741,1.01258,0.993926,1.001454,1.001454,55034243501.0,Tether
2020-02-26,1.001276,1.012716,0.993807,1.002742,1.002742,68910958735.0,Tether
2020-02-27,1.002051,1.0074610000000002,0.99267,0.998413,0.998413,61401185853.0,Tether
2020-02-28,0.998789,1.011133,0.991933,0.997089,0.997089,56902235264.0,Tether
2020-02-29,0.996267,1.007848,0.993575,1.006368,1.006368,44948749121.0,Tether
2020-03-01,1.00634,1.007101,0.995004,1.000498,1.000498,45828960109.0,Tether
2020-03-02,1.001539,1.003555,0.994205,0.995,0.995,67439071909.0,Tether
2020-03-03,0.994988,1.0083879999999998,0.993595,1.002497,1.002497,50681960308.0,Tether
2020-03-04,1.001975,1.007567,0.996098,1.000622,1.000622,48605279710.0,Tether
2020-03-05,1.000576,1.00606,0.996369,1.002522,1.002522,49920180590.0,Tether
2020-03-06,1.002845,1.005908,0.997728,0.99843,0.99843,49389801062.0,Tether
2020-03-07,0.998021,1.007726,0.997396,1.000182,1.000182,46199415513.0,Tether
