Date,Open,High,Low,Close,Adj Close,Volume
3/8/2018,1.00153,1.01134,0.985734,1.00591,1.00591,2636689920
3/9/2018,0.999723,1.01349,0.988564,1.00166,1.00166,3131620096
3/10/2018,0.997607,1.01348,0.994936,1.00519,1.00519,2218810112
3/11/2018,1.00347,1.01356,0.994709,1.00384,1.00384,2394810112
3/12/2018,1.00018,1.01408,0.98853,1.00235,1.00235,2155559936
3/13/2018,1.00184,1.01209,0.987195,0.999843,0.999843,1890040064
3/14/2018,0.996581,1.02033,0.991337,1.00275,1.00275,2151670016
3/15/2018,1.00066,1.01192,0.984939,1.00128,1.00128,2259869952
3/16/2018,0.997509,1.01151,0.989567,0.998551,0.998551,1872050048
3/17/2018,1.00155,1.00959,0.990731,1.00162,1.00162,1687920000
3/18/2018,1.00517,1.01352,0.979781,1.00308,1.00308,2639470080
3/19/2018,0.982194,1.02082,0.982194,0.989867,0.989867,2638089984
3/20/2018,1.00602,1.00633,0.98957,0.996832,0.996832,2506319872
3/21/2018,0.996938,1.00901,0.992647,0.999244,0.999244,2353890048
3/22/2018,0.99946,1.01118,0.993468,0.998982,0.998982,2171849984
3/23/2018,0.999221,1.00861,0.990235,0.990235,0.990235,1995699968
3/24/2018,1.00164,1.0091,0.994299,1.0091,1.0091,1785500032
3/25/2018,1.00012,1.01018,0.994482,0.999686,0.999686,1511320064
3/26/2018,0.9966,1.01308,0.983682,1.00341,1.00341,2183960064
3/27/2018,1.00242,1.01292,0.989473,1.00161,1.00161,2051079936
3/28/2018,1.00228,1.00999,0.993721,0.999204,0.999204,1857049984
3/29/2018,1.0026,1.01102,0.982472,0.998623,0.998623,2486609920
3/30/2018,0.995897,1.00847,0.979633,0.998943,0.998943,2596849920
3/31/2018,0.997014,1.00849,0.993569,1.00077,1.00077,1763719936
4/1/2018,0.995702,1.00985,0.980778,0.99981,0.99981,1832530048
4/2/2018,1.00333,1.00725,0.98806,1.00013,1.00013,1550880000
4/3/2018,0.997587,1.00704,0.995073,1.00037,1.00037,1753520000
4/4/2018,1.00398,1.01452,0.99427,1.00083,1.00083,1772329984
4/5/2018,1.00205,1.00976,0.987434,1.00253,1.00253,1609469952
4/6/2018,1.00031,1.01101,0.991376,1.00109,1.00109,1257110016
4/7/2018,1.00174,1.00578,0.98652,0.999644,0.999644,1332259968
4/8/2018,1.00153,1.0058,0.995091,0.996809,0.996809,1090880000
4/9/2018,0.997541,1.0089,0.993393,0.997555,0.997555,1678770048
4/10/2018,0.996953,1.00371,0.991744,0.997356,0.997356,1253949952
4/11/2018,0.997593,1.00239,0.992521,1.00025,1.00025,1741699968
4/12/2018,0.996408,1.02059,0.986025,0.996831,0.996831,3636590080
4/13/2018,0.995839,1.00989,0.989434,0.998895,0.998895,3218919936
4/14/2018,1.00183,1.00968,0.993994,0.999766,0.999766,2060220032
4/15/2018,0.996308,1.00594,0.986564,0.998602,0.998602,2057859968
4/16/2018,0.998884,1.01027,0.995754,0.997592,0.997592,2125180032
4/17/2018,0.997217,1.00628,0.99132,0.998556,0.998556,2075650048
4/18/2018,1.00066,1.00853,0.983284,0.997609,0.997609,2112089984
4/19/2018,0.997907,1.00284,0.992889,0.997185,0.997185,2217799936
4/20/2018,0.99755,1.00491,0.988285,0.998338,0.998338,3458870016
4/21/2018,0.997071,1.00978,0.993816,0.999014,0.999014,3570040064
4/22/2018,1.00431,1.01115,0.989191,0.996196,0.996196,3176019968
4/23/2018,0.99513,1.00399,0.98878,0.997847,0.997847,3075480064
4/24/2018,0.998974,1.00745,0.990297,1.00476,1.00476,5033249792
4/25/2018,1.00509,1.01705,0.986074,0.991809,0.991809,6126580224
4/26/2018,1.00226,1.00916,0.992381,0.999614,0.999614,4206320128
